"tx_n_inputs","Freq"
"1",4475608
"2",3383838
"3",161327
"4",77485
"5",47019
"6",34964
"7",27878
"8",23544
"9",20588
"10",19142
"11",15951
"12",13139
"13",11445
"14",9955
"15",9074
"16",7789
"17",6797
"18",5861
"19",5361
"20",4792
"21",4268
"22",3735
"23",3375
"24",3080
"25",2743
"26",2482
"27",2207
"28",1977
"29",1764
"30",1765
"31",3325
"32",1302
"33",1238
"34",1170
"35",1113
"36",966
"37",890
"38",872
"39",753
"40",901
"41",702
"42",640
"43",560
"44",540
"45",554
"46",526
"47",487
"48",478
"49",463
"50",800
"51",391
"52",377
"53",366
"54",354
"55",349
"56",326
"57",311
"58",330
"59",309
"60",411
"61",351
"62",281
"63",313
"64",276
"65",244
"66",277
"67",257
"68",270
"69",268
"70",317
"71",247
"72",236
"73",241
"74",247
"75",106
"76",82
"77",81
"78",93
"79",99
"80",79
"81",83
"82",59
"83",90
"84",98
"85",51
"86",80
"87",74
"88",79
"89",77
"90",61
"91",78
"92",74
"93",71
"94",58
"95",70
"96",50
"97",59
"98",65
"99",49
"100",69
"101",62
"102",60
"103",52
"104",63
"105",57
"106",60
"107",54
"108",49
"109",52
"110",54
"111",54
"112",52
"113",46
"114",37
"115",41
"116",48
"117",51
"118",41
"119",37
"120",47
"121",53
"122",54
"123",31
"124",42
"125",40
"126",55
"127",53
"128",34
"129",42
"130",35
"131",27
"132",32
"133",38
"134",42
"135",37
"136",35
"137",46
"138",31
"139",37
"140",28
"141",24
"142",31
"143",24
"144",34
"145",34
"146",25
"147",25
"148",39
"149",24
"150",46
"151",39
"152",31
"153",29
"154",30
"155",21
"156",21
"157",28
"158",35
"159",29
"160",26
"161",22
"162",23
"163",35
"164",29
"165",32
"166",33
"167",23
"168",32
"169",27
"170",32
"171",29
"172",24
"173",30
"174",28
"175",25
"176",25
"177",30
"178",23
"179",29
"180",24
"181",28
"182",20
"183",28
"184",26
"185",543
"186",22
"187",13
"188",21
"189",26
"190",1494
"191",27
"192",33
"193",1050
"194",3213
"195",40
"196",16
"197",7
"198",8
"199",6
"200",3
"201",6
"202",4
"203",2
"204",1
"205",1
"206",1
"207",2
"208",1
"209",1
"210",2
"212",2
"213",6
"214",1
"216",3
"217",1
"218",3
"219",2
"220",1
"221",1
"223",2
"224",1
"225",1
"226",1
"227",3
"228",3
"229",1
"230",1
"231",4
"232",2
"233",1
"235",1
"237",2
"238",3
"239",2
"240",3
"241",3
"242",1
"243",1
"244",3
"245",2
"247",2
"248",1
"249",1
"250",1
"251",2
"252",2
"253",1
"254",2
"255",1
"259",1
"261",1
"267",1
"277",1
"308",2
"322",1
"360",1
"393",1
"407",1
"457",1
"466",1
"479",1
"580",1
"618",1
"685",1
"698",1
"827",1
"854",1
"944",1
"973",1
"1047",1
"1243",1
"1245",6
